"Sex" "Wingcrd" "Tarsus" "Head" "Wt"
"Male" 58 21.7 32.7 20.3
"Female" 56.5 21.1 31.4 17.4
"Male" 59 21 33.3 21
"Male" 59 21.3 32.5 21
"Male" 57 21 32.5 19.8
"Female" 57 20.7 32.5 17.5
"Male" 57 22 33.1 19.6
"Male" 57 20.8 32.1 21.2
"Female" 53.5 20.1 32.1 18.5
"Male" 56.5 22.2 32.2 20.5
"Female" 54.5 21.5 32.2 21.8
"Female" 55 20.7 32.2 18.6
"Male" 57 21.6 32.6 20.7
"Male" 60 21.4 32.6 21.3
"Male" 58.5 22 32.9 20.8
"Female" 55 20.3 31.7 17.7
"Male" 59 21 31.9 19.4
"Female" 56.5 20.6 32 16.6
"Male" 57.5 20.4 32.1 21
"Male" 57.5 21.7 32.2 20.1
"Male" 60 21.4 32.2 21.2
"Male" 59 21.3 32.2 20.7
"Male" 58 20.8 32.3 19.1
"Female" 55 21.2 32.4 17.5
"Male" 60.5 20.9 32.4 20.9
"Male" 58.5 21.9 32.5 21.2
"Male" 60 21.5 32.5 20.2
"Male" 58.5 20.5 32.5 20.5
"Male" 58 21.7 32.6 21.6
"Male" 59.5 22 32.7 21.3
"Male" 59 20.6 32.7 19.9
"Male" 59 21.6 31.7 20.4
"Male" 57 20.8 31.8 19.3
"Male" 56.5 21.5 32.1 19.6
"Female" 56 21.2 32.1 21.6
"Male" 56.5 21 32.2 20.7
"Male" 57 20.6 32.4 19.3
"Male" 58 21.6 32.5 21
"Male" 57.5 20.8 32.5 21.5
"Male" 57 22.1 32.6 20.1
"Male" 58 21.7 32.7 21.6
"Female" 55.5 20.8 32.7 17.2
"Male" 59 21 31.4 24.5
"Male" 60 20.3 31.5 20.2
"Male" 60 22.3 31.6 20.2
"Male" 59 21.6 31.6 20.2
"Male" 56 21.4 31.6 19.4
"Female" 56.5 21.1 31.6 18.2
"Female" 57 20.7 31.6 19.7
"Male" 59 21.9 31.8 20
"Female" 58 20.7 31.8 17.6
"Female" 55 21.4 32 17.6
"Male" 59 21.5 32.1 19.9
"Male" 58 21.3 32.1 20
"Male" 59 20.6 32.1 20.7
"Female" 56.5 20.3 32.1 21.7
"Male" 61 22.5 32.3 21
"Male" 60 21.4 32.3 20.2
"Male" 59 20.6 32.3 20.8
"Male" 59 21.9 32.4 21
"Female" 57.5 21.3 32.4 19.3
"Male" 59 21 32.4 20.5
"Male" 59.5 21.5 32.5 21.8
"Male" 60 21 32.5 19.7
"Male" 58.5 21.1 32.6 20.2
"Male" 58 22.2 32.7 21.4
"Male" 61 21.9 32.9 20.7
"Male" 60 22.4 33.1 21.4
"Male" 59 22.1 31.2 20.8
"Male" 60.5 21.2 31.4 21.2
"Female" 56.5 21.1 31.5 17.2
"Female" 57 21.7 31.6 19
"Female" 54 19.5 31.6 17.1
"Male" 59 21.6 31.7 21.1
"Female" 54 20.5 31.8 16.7
"Female" 54 20 31.8 16
"Male" 57.5 22.1 31.9 21.5
"Male" 59 21.4 31.9 20.3
"Male" 59 21.4 31.9 21.1
"Male" 59.5 21.6 32 21.5
"Male" 59 21.5 32 20.7
"Male" 59 21.4 32 20.7
"Male" 60.5 21.8 32.1 20.9
"Male" 59 21.7 32.1 19.6
"Male" 57 21.5 32.1 21.7
"Male" 58.5 20.8 32.1 19.9
"Male" 56.5 21.5 32.2 20.6
"Male" 61 21.3 32.3 21.7
"Male" 59 22.1 32.4 20.4
"Male" 58 21.8 32.4 21.3
"Male" 60 22.1 32.5 22.2
"Male" 56.5 21.3 32.5 19.7
"Male" 58.5 20.6 32.5 19.8
"Male" 60 21.9 32.6 21.3
"Male" 58 21.5 32.6 19.8
"Male" 59 21.6 32.7 21.4
"Male" 60 21.1 32.8 20.7
"Female" 54 20.8 30.6 16.6
"Female" 55 19.8 30.9 16.5
"Female" 54 20.3 31 20.7
"Female" 56 19.6 31 18.6
"Female" 56 21 31.2 19.2
"Female" 54 19.9 31.3 17.6
"Male" 59 21 31.5 20
"Female" 55 20.9 31.5 17.1
"Male" 56 20.7 31.5 19.3
"Male" 58 20.5 31.5 19.1
"Female" 53 20.5 31.5 18.8
"Female" 55 20.3 31.5 18.1
"Female" 55.5 19.9 31.5 20.2
"Male" 61.5 22.6 31.6 20.8
"Male" 58 22.5 31.6 20.7
"Male" 60 21.1 31.6 21.7
"Male" 61 21 31.6 20.3
"Male" 60 21.8 31.7 19.5
"Female" 55 21 31.7 20.3
"Female" 55.5 20.2 31.7 18.4
"Male" 59 22 31.8 20.5
"Female" 55 21.3 31.8 18.2
"Male" 60 22.2 32 20
"Male" 62 21.9 32 22.2
"Male" 60 21.2 32 20
"Male" 58 20.9 32 20.2
"Female" 55.5 20.8 32 18.5
"Female" 57 20.1 32 18.2
"Male" 57.5 22.2 32.1 19.5
"Male" 57.5 21.9 32.1 19.3
"Male" 57.5 21.2 32.1 19.6
"Male" 58 21 32.1 20.4
"Male" 60.5 21.9 32.2 20.7
"Male" 58.5 21.7 32.2 21.3
"Male" 58 20.9 32.2 20.2
"Male" 56.5 21.4 32.3 19.5
"Male" 60 21.4 32.4 21.2
"Male" 57 21.3 32.4 19.8
"Male" 61 21.5 32.5 21.1
"Male" 57.5 21.4 32.5 20.8
"Male" 57 21.7 32.6 19.4
"Male" 58 21.7 32.7 20.8
"Male" 60 21.4 32.7 21.6
"Female" 56 20.3 31 18.8
"Male" 59 22.6 31.2 20.7
"Female" 55 19.5 31.3 18
"Male" 60.5 22 31.4 20.1
"Female" 58 20.3 31.5 17.3
"Female" 56 21.9 31.6 17.8
"Female" 54 21.4 31.6 18.1
"Female" 55 20.9 31.6 18.1
"Male" 58.5 22.3 31.7 21.3
"Male" 60 21.9 31.7 20.2
"Male" 60 21.3 31.7 20.1
"Male" 58.5 20.8 31.7 18.6
"Male" 58 21.2 31.8 20.2
"Male" 59.5 20.6 31.8 19.4
"Male" 59 21.2 31.9 22
"Female" 56 21.4 32 21.9
"Male" 59 20.1 32 20
"Female" 57 21.3 32.1 16.6
"Male" 58.5 20.5 32.1 20.8
"Male" 60 22.2 32.2 19.5
"Male" 59 21.9 32.2 21.8
"Male" 59 21.6 32.2 20.8
"Male" 59 21.2 32.2 21.7
"Male" 60 21 32.2 20
"Male" 61 21.3 32.4 21.5
"Male" 59 21 32.4 20
"Male" 59 20.5 32.6 19.9
"Female" 54 20.4 30.3 20.2
"Female" 54 20.4 30.6 17.6
"Male" 60 21.2 30.8 19.7
"Male" 59 20.8 30.9 19.6
"Male" 59 21.8 31 20.3
"Female" 56 21 31 18
"Male" 59.5 21.8 31.2 21.3
"Female" 55 20.7 31.2 19.1
"Female" 57 19.9 31.2 20.2
"Male" 56 21 31.4 18.7
"Male" 60 21 31.4 19.2
"Female" 54 20.9 31.4 18.2
"Female" 54 20.2 31.4 18.6
"Female" 56 20.2 31.4 18.8
"Male" 59 21.9 31.5 18.5
"Female" 55.5 20.9 31.5 23.2
"Female" 54.5 20.1 31.5 18.4
"Male" 58 20.8 31.6 18.5
"Female" 57 21.3 31.7 21.2
"Male" 59 21.2 31.8 20
"Female" 55 20.9 31.8 21
"Male" 57 20.7 31.8 19.1
"Female" 56 20.7 31.8 17.6
"Male" 60 21.9 31.9 20.7
"Male" 58.5 21.5 31.9 19.4
"Male" 60 21.5 31.9 21.2
"Male" 61 22 32.1 21.1
"Male" 61 21.8 32.1 20.1
"Male" 56 21.6 32.1 19.8
"Male" 61 21.3 32.1 21.5
"Male" 59 22 32.2 21.9
"Male" 59 22.2 32.4 21.5
"Male" 61.5 21.7 32.4 20.6
"Male" 58.5 21.6 32.5 20
"Male" 59 21.5 30.6 19
"Female" 60 21.6 30.9 19
"Female" 55.5 21.6 31.1 18.3
"Female" 56.5 20 31.1 16
"Female" 55 21.5 31.2 16.7
"Female" 54 20 31.3 19
"Female" 56 21.9 31.4 22.4
"Female" 55 21.7 31.4 19.2
"Female" 56 21 31.4 19.2
"Female" 55.5 20.6 31.4 20.6
"Female" 57 21.2 31.5 18.8
"Male" 56 20.8 31.5 18.6
"Male" 58 22.6 31.6 22.1
"Male" 59 21.3 31.6 20.9
"Male" 59.5 21.5 31.7 21.5
"Male" 56 20.6 31.7 19
"Male" 60 21.9 31.8 19.3
"Male" 59 21.9 31.8 20.8
"Male" 59 22 31.9 21.2
"Male" 59.5 21.9 31.9 20.7
"Male" 61.5 21.9 32.2 21
"Male" 59 21.5 32.2 21.9
"Male" 58 20.9 32.2 21.3
"Male" 59 20.6 32.2 20.1
"Female" 54.5 20.1 30.7 18.1
"Female" 55 20.1 30.9 17.9
"Male" 57 20.7 31.2 20.2
"Female" 56 20 31.2 17.5
"Male" 59.5 22.8 31.3 21.3
"Female" 55 20.9 31.5 18.4
"Female" 56.5 19.1 31.5 17.8
"Male" 58 21.9 31.6 20.3
"Male" 58 20.9 31.7 20.4
"Female" 55 21.8 32 20.2
"Male" 60 20.9 32.1 20.7
"Male" 57 21.2 32.2 19.2
"Male" 60 22.5 32.5 22.2
"Male" 59 21.3 30.6 19.4
"Female" 54 21 30.6 20
"Female" 55.5 20.1 30.6 16.4
"Male" 61 21.3 30.8 20.6
"Female" 56 21.3 30.8 21.2
"Male" 59 20.4 30.8 19.7
"Female" 57 20.2 30.8 18.5
"Male" 57 21 30.9 20.8
"Female" 56 21 31 16.4
"Male" 57 20.8 31.2 19.2
"Male" 56 20.6 31.2 19.4
"Male" 56 21.2 31.5 19.2
"Male" 59.5 20.5 31.6 20.3
"Male" 58 20.9 31.8 20.3
"Female" 57 19.7 30.7 19.4
"Female" 56.5 21.7 31.6 19.2
"Male" 58 20.6 31.6 20.5
"Female" 55.5 20.6 30.6 22
"Female" 54 20.1 30.9 17.5
"Male" 58 20.9 31.7 19.8
"Male" 58 21.8 30.8 19
"Female" 55 19.6 30.8 20.8
"Male" 59 19.9 30.4 17.9
"Female" 54.5 20.8 31.1 17.5
"Female" 59.5 23.8 34.7 22.8
"Male" 65 23.4 35.1 24.4
"Male" 60 23.2 34.7 22.8
"Male" 62.5 22.6 34.7 22.6
"Female" 58.5 22.3 34.4 21.7
"Male" 63 22.4 33.8 25.2
"Male" 63.5 24.3 34.5 24.9
"Male" 61.5 23.7 34.6 23.5
"Male" 67 24.2 34.8 25
"Female" 61 22.4 33.4 21.1
"Female" 59 23.1 33.9 20.9
"Female" 59 23.3 34 19.7
"Male" 63 23 34.5 25.2
"Female" 59 23.4 33.7 23.4
"Male" 61 23.7 34 21.3
"Male" 61.5 23.9 34.3 22.5
"Male" 62 22.5 34.5 23.7
"Male" 64.5 22.8 34 23.7
"Male" 63 22.5 34.1 23.7
"Female" 57 23 34.5 22.9
"Female" 61 22.3 34.5 23.2
"Female" 57 21.3 34.1 22.3
"Male" 63 22.7 33.1 23.1
"Female" 57 22.5 33.3 21.5
"Male" 59.5 24.1 33.9 24.5
"Male" 66 22.4 31.7 22.3
"Male" 64 23.9 33.7 22.5
"Male" 62 24.9 34.2 23.3
"Male" 60 24.1 34.4 24.3
"Male" 60 20.6 32.7 22
