tratamiento	temperatura	y1	y2	y3
1	1	2.2	23.5	1.7
1	1	3	27	2.3
1	1	3.3	24.5	3.2
1	1	2.2	20.5	1.5
1	1	2	19	2
1	1	3.5	23.5	2.9
1	2	21.8	41.5	23
1	2	11	32.5	15.4
1	2	16.4	46.5	22.8
1	2	13.1	31	21.5
1	2	15.4	41.5	20.8
1	2	14.5	46	20.3
1	3	13.6	29.5	30.8
1	3	6.2	23.5	14.6
1	3	16.7	58.5	36
1	3	12.2	40.5	23.9
1	3	8.7	37	20.3
1	3	12.3	41.5	27.7
1	4	3	24	10.2
1	4	5.3	26.5	15.6
1	4	3.1	24.5	14.7
1	4	4.8	34	20.5
1	4	3.4	22.5	14.3
1	4	7.4	32	23.2
2	1	2.3	23.5	2
2	1	3	21	2.7
2	1	2.3	22	1.8
2	1	2.5	22.5	2.4
2	1	2.4	21.5	1.1
2	1	2.7	25	2.6
2	2	10.1	43.5	14.2
2	2	7.6	27	14.7
2	2	19.7	32.5	21.4
2	2	4.3	28.5	9.7
2	2	5.2	33.5	12.2
2	2	3.9	24.5	8.2
2	3	10	21	23.6
2	3	12.3	49	28.1
2	3	4.9	28.5	13.3
2	3	9.6	27	24.6
2	3	6.5	29	19.3
2	3	13.6	30.5	31.5
2	4	4.2	25.5	13.3
2	4	2.2	23.5	8.5
2	4	2.8	19.5	11.8
2	4	1.3	21.5	7.8
2	4	4.2	28.5	15.1
2	4	3	25	11.8
