"Peso" "Estatura"
62.601 174.269
62.977 174.582
64.49 174.954
62.912 174.174
64.757 175.345
66.773 174.711
67.292 175.368
61.77 173.41
66.2 175.307
62.212 174.108
63.148 175.172
65.066 174.915
63.515 174.375
65.221 174.606
65.064 175.493
65.069 174.908
67.397 174.794
67.13 176.186
65.443 176.066
64.319 175.89
65.738 175.101
61.123 174.614
66.889 175.449
65.53 174.561
64.003 175.257
63.685 174.8
62.276 174.901
62.782 174.864
64.79 175.157
62.046 173.704
63.453 175.258
63.292 174.107
65.207 175.059
66.38 175.396
62.953 174.624
66.486 175.956
63.927 175.023
64.003 173.333
66.751 175.525
67.279 176.061
66.221 175.33
65.573 175.121
62.047 174.624
66.203 175.293
68.13 175.255
63.49 175.095
63.709 173.841
62.451 174.145
64.423 174.615
65.455 174.903
66.276 174.144
65.243 175.213
60.746 174.682
61.735 174.645
69.297 176.3
65.96 175.007
62.328 173.461
64.985 175.027
65.24 175.173
64.663 174.572
67.661 174.387
63.54 174.99
65.266 174.926
67.972 176.055
64.047 175.034
65.421 174.652
62.948 174.08
64.323 175.487
66.704 175.865
65.115 175.325
62.649 174.342
63.285 174.232
66.677 174.922
63.199 174.364
64.45 175.072
65.159 174.445
63.892 174.461
64.801 174.886
66.386 175.242
67.936 175.551
63.761 174.856
66.839 175.479
67.02 175.814
67.565 175.774
67.373 175.973
68.406 176.365
63.429 174.211
65.455 175.633
65.678 175.961
65.875 176.302
66.718 175.452
64.906 176.417
66.377 174.774
65.077 174.978
59.658 173.756
66.371 175.038
62.827 174.557
62.535 176.011
63.504 175.563
65.031 175.066
65.902 173.458
63.437 174.583
65.125 175.199
62.705 174.826
62.792 173.421
64.691 174.59
62.807 174.462
63.481 174.094
63.974 174.405
68.573 176.122
63.473 173.575
65.798 175.744
63.168 173.999
66.682 175.649
64.471 174.901
65.149 174.686
65.27 174.418
63.996 175.26
63.631 175.678
64.181 175.285
64.487 174.902
65.406 174.854
63.606 173.914
66.628 175.618
62.673 173.551
63.156 174.711
64.103 175.511
64.337 174.879
66.223 174.821
63 174.661
65.885 175.448
67.583 176.009
66.844 175.757
63.247 174.759
62.976 174.505
61.63 175.245
65.369 175.268
64.147 174.365
61.84 173.835
65.051 175.864
68.97 176.289
67.647 175.115
63.609 174.842
64.735 175.057
63.071 173.715
68.099 176.169
64.757 173.745
66.74 174.348
65.909 174.982
66.005 174.893
67.787 175.52
64.966 175.449
60.985 174.57
64.33 175.423
64.785 175.602
66.768 174.964
65.234 175.312
66.182 175.119
64.597 174.661
63.714 176.17
63.929 174.957
65.022 175.108
62.451 174.589
67.769 175.859
66.207 175.977
63.327 174.015
61.908 174.945
65.206 174.815
67.856 176.452
66.374 173.824
65.256 174.737
64.445 175.03
65.494 175.072
63.863 175.129
66.841 175.716
61.7 173.921
68.045 175.589
65.06 174.758
68.891 175.047
64.342 175.785
63.716 176.208
64.712 175.427
63.824 175.007
65.8 174.273
64.767 175.932
67.417 176.053
62.46 173.697
69.349 174.939
62.8 174.248
63.649 175.44
60.982 174.76
62.255 174.38
62.912 173.71
66.156 174.461
64.522 175.17
63.949 173.95
63.085 174.857
65.283 175.338
64.001 174.713
64.55 174.562
66.633 174.087
65.344 174.852
65.489 174.19
63.959 174.281
67.962 176.162
64.884 174.41
66.033 174.491
60.911 174.832
62.753 174.573
68.342 176.479
63.507 173.702
65.283 176.258
65.089 173.712
64.106 174.04
63.868 174.82
65.827 174.979
63.85 174.665
63.979 174.471
65.062 174.587
67.676 175.188
66.62 176.081
66.939 175.513
65.545 174.698
62.414 174.014
64.383 174.404
63.052 174.155
65.814 174.67
67.024 174.682
62.082 173.76
65.264 176.156
65.99 175.104
69.199 174.472
63.652 174.584
64.259 175.358
62.999 174.997
61.118 174.65
69.131 175.08
64.73 175.227
66.052 175.945
63.386 174.613
64.279 174.143
64.907 175.727
62.581 175.188
65.527 175.174
64.406 174.7
66.752 174.597
66.524 176.06
64.153 174.61
63.977 174.335
63.482 175.081
63.857 174.781
65.369 175.991
63.642 175.696
65.06 175.886
67.146 176.224
62.856 174.214
65.691 175.85
64.663 175.161
63.608 173.537
67.21 174.029
62.66 175.264
64.986 175.436
63.357 174.297
64.771 174.691
66.917 175.121
63.189 175.684
66.056 174.379
64.491 174.783
63.388 173.73
66.599 176.261
64.148 174.355
65.424 175.703
67.447 175.705
63.899 174.914
62.65 174.919
65.073 174.313
65.743 175.5
67.119 175.473
67.042 175.668
65.442 174.398
65.209 175.224
66.484 175.287
60.347 173.589
64.905 174.758
62.233 175.063
63.234 174.326
65.416 175.365
66.073 174.915
64.844 175.184
64.479 176.382
66.232 175.034
64.02 174.511
69.302 176.032
59.831 173.532
66.505 175.538
64.401 174.591
63.908 174.824
64.688 174.783
65.853 175.869
65.775 175.758
59.233 173.122
69.122 176.874
70.043 175.965
